'1.41904849463892', '-0.846739203079107', '2.5449602982422', '-0.534572175706497', '-0.569299373809626', '0.652275506223666', '-0.743981154082481', '-0.695044160639471', '-0.0207114853092163', '-0.884487684156902', '-0.342915520393052', '-0.1037746770983', '-0.710983574515927', '0.469168415650682', '-0.332154993142383', '-1.20978757871708', '0.56055501707743', '-0.16396416133493', '-0.822455608859965', '0.431727301268337', '-0.565640750358116', '1.31317725965596', '-0.789570131901424', '-0.087190247500092', '-0.435140133254683', '-0.494528409332421', '-1.24744288198102', '-1.55273412180103', '-1.05845856996748', '0.323333399843064', '-1.28366540317208', '0.140007709341097', '-0.385632065933707', '0.461863164841813', '-0.136880243976086', '-0.457116819188899', '-0.615133845349706', '0.156895647424266', '-0.413227722063017', '-0.264213502325794', '1.16805506971524', '1.01886598499269', '-0.696259652586882', '-0.250467687203989', '-0.404998754839039', '1.0422659488292', '0.376904261327916', '-1.0764720058052', '-0.90300752304061', '-0.867479357038169', '-1.07616158914921', '-0.419467873396153', '-1.01194208825251', '0.0457661861495062', '0.46276446810283', '0.692273464017222', '-0.52289886538888', '-0.453539851198831', '-2.19115230283873', '-0.0735376448664763', '-0.851376664405404'
'-0.695044160639471', '-0.483139427639255', '-0.360230378163449', '0.27135348484232', '-0.253262459071203', '-1.51209321897304', '0.078907092099657', '-0.695044160639471', '1.54162488984933', '-0.630284530836218', '1.44311439934504', '-0.514003093786524', '0.818771509359491', '1.63907343252118', '-0.945879384160935', '1.04466680980437', '-0.656167842523034', '0.0684510576446794', '-0.603733352223253', '-0.379818483415108', '-0.423320754576375', '0.573049687219979', '-0.789570131901424', '0.988565482219353', '0.252262332376576', '-0.080108556103594', '0.132412874023581', '0.875814628967289', '2.88739383551658', '0.191765182515619', '0.852275802456737', '1.90385050777455', '1.79509010973367', '-0.450366570911767', '0.611043244815402', '0.337395747496569', '-0.5763894357634', '-0.217126269693814', '-0.147605092026032', '-0.553672016629691', '0.822635760985101', '-0.248747426246617', '-0.0108339157560201', '0.963243543264323', '0.743520659630858', '0.658426975521586', '1.4945339579539', '1.22243820774547', '-0.107769532047501', '-0.394461518771229', '0.893877749929364', '0.301138574369029', '1.23265287045618', '2.25100155836994', '0.46276446810283', '1.16812998824752', '0.511562304621642', '1.17843272385147', '1.51275952297185', '-0.810807766789605', '1.22654030321728'
'-0.695044160639471', '-0.755839259219144', '-0.0374314141183774', '0.0592677846978945', '-0.88533628854805', '-1.51209321897304', '-0.743981154082481', '-0.695044160639471', '0.561664797904005', '-0.884487684156902', '-0.188667481870217', '-0.459305971561428', '1.13148387457159', '1.63907343252118', '1.24896547185456', '-0.187768255920691', '-0.0825331751004048', '0.242762471879387', '-0.385011095586541', '0.0674902168041135', '-0.897720740515512', '0.249243874279239', '0.499704178263351', '-0.654950215963132', '-0.380871517546952', '-0.0340619057448351', '0.354047736387014', '-0.877415752603426', '2.14696072379867', '0.454901617170509', '-0.626452724517056', '-0.0456599536518979', '0.154828300113726', '1.37409290059539', '0.0874968026613604', '-0.0598605358461654', '-0.847600302867541', '1.3205193895694', '-0.231086490037656', '-0.336578130901768', '-0.0703995250001279', '0.0681559265632092', '-0.0108339157560201', '0.021571036866495', '-1.03605337817415', '0.658426975521586', '0.0720961622481022', '-0.975789806671593', '1.3501667847732', '0.528215252169221', '1.20729309932823', '0.157941139236204', '-0.289366998805193', '0.486813260593593', '-0.702125399880158', '-0.0215113223282189', '-0.52289886538888', '-0.134648658372911', '-0.81933310809407', '-0.465212397138138', '-0.705922476671816'
'-0.695044160639471', '-2.5738381364184', '-0.466754036298323', '-0.661823595793152', '1.16890365725171', '-1.51209321897304', '2.54757183064607', '1.41904849463892', '-0.860677278405209', '-0.376081377515533', '-0.0425377611643725', '-0.377260288223783', '-0.237689183924638', '0.837471846887692', '-0.60260980952344', '-1.20978757871708', '-0.805364303108291', '-0.977417427763563', '1.14604470087044', '0.131391459692574', '-0.470760753170289', '0.85059752688347', '-0.225512621204335', '0.211630788533087', '-0.127617977577541', '0.0350080697933025', '-0.160717105231283', '-0.0332677911064153', '-0.945987717554634', '-1.12391699075883', '-0.516917278074553', '-1.0535701241853', '-0.867090208613517', '-0.450366570911767', '-0.211672592855235', '-0.894098730865907', '0.159754346376412', '0.136116652028817', '0.266766210831665', '-0.404118450906011', '0.190771171844609', '0.385059279373035', '-0.485359425869694', '0.398240039425626', '-0.0768503507047825', '-0.279846070341473', '0.0179080557450241', '0.316298415543018', '-0.22137495933223', '0.0902357722924249', '1.61025569141248', '-0.428706417598271', '-0.273993060731845', '-0.174757351072537', '-0.585636413081859', '1.40605825036266', '-0.00566828038361939', '0.615683560041019', '1.10121376454845', '1.12452630325861', '1.22654030321728'
'-0.695044160639471', '-0.392239483779292', '-0.392510274567957', '-0.661823595793152', '-0.806327059863444', '-1.51209321897304', '-1.56686940026462', '-0.695044160639471', '-0.653485716108197', '-1.01158926081724', '-0.93555272103342', '-0.158471799323396', '1.98510411474517', '-1.04195889780705', '-0.945879384160935', '2.12680491629466', '-0.824228223412174', '-0.338275575569637', '-0.603733352223253', '-0.839907432212021', '-0.328440757388548', '-0.0437232898100021', '3.56173066490469', '-0.804360733979722', '0.614053103761449', '-0.517551734511801', '0.211057502604154', '-0.786507510596056', '1.13472305208304', '-0.334507686794162', '0.852275802456737', '2.14256607447983', '-0.366751354456068', '-1.21663954894477', '-0.443528874380596', '1.52916459752477', '0.159754346376412', '-0.929845811757711', '-0.323674949650548', '2.3602103606962', '-0.7612381424604', '-0.248747426246617', '-0.169009085793911', '-0.417876132785825', '-0.840426444940264', '0.487831876273757', '0.282075074947529', '-0.757645041882113', '-0.0130983426435589', '0.0201590555121375', '0.31182067247433', '0.259565125459499', '0.879052294769195', '-0.174757351072537', '0.113297507707934', '-1.42528806880759', '-0.52289886538888', '-0.416023240278134', '0.621077046387821', '0.249018033474892', '-0.124105725737465'
'-0.695044160639471', '-0.483139427639255', '0.483888912814413', '-0.322486475562072', '-0.0952440017019907', '-1.51209321897304', '-1.56686940026462', '-0.695044160639471', '-0.821478874727396', '-0.630284530836218', '-1.0492091704713', '0.142362372914635', '-0.229237498378364', '-0.500336204811448', '0.239960964586775', '0.203003838089694', '-0.00536259203906462', '0.649489105093703', '-0.166288838949829', '-0.801566686478945', '-1.08748073489117', '0.727242931477474', '0.257965245107455', '-1.02847651100461', '0.451247256638256', '-0.978018238099387', '-0.589687806579864', '-1.05923223661817', '-0.84288943617619', '-0.992348773431388', '-0.352614108410798', '-0.31532013085601', '-0.999255188956994', '-0.8152584652132', '-0.286464941734384', '-1.39066908504432', '-0.653878254936011', '-1.28724453255943', '-0.41626340926344', '-0.196673182321552', '-0.896035921477038', '0.385059279373035', '0.832766991112733', '-1.27689071917762', '-0.884600268573721', '-1.77255318875998', '-0.747498948610953', '0.484102080765695', '-1.0828827829081', '-1.59744515683283', '-1.09407103768629', '-0.890633627704156', '0.171851143395224', '0.92786033503768', '-1.05159236027505', '-0.735296108673659', '-1.04012945039414', '-1.16635545869206', '-1.02510598730577', '-1.22552221037136', '-0.082547386385011'
'1.41904849463892', '1.15305956184008', '-0.150411051534153', '0.228936344813435', '-0.253262459071203', '0.652275506223666', '-0.743981154082481', '-0.695044160639471', '1.69841850456058', '-0.884487684156902', '-0.927434403216429', '-1.17036856048768', '-1.0321476252743', '-1.75397609001907', '-1.01869414241737', '-0.127649472226785', '-0.921977628623205', '-0.396379380314539', '-0.822455608859965', '-0.763225940745869', '0.193399227144503', '-2.78836303759342', '-1.49061303805352', '1.09315284483097', '-1.90039275736342', '-0.356388458256145', '0.547084551993876', '-0.293005625413188', '-0.0555934692862588', '-0.334507686794162', '-1.22889767995082', '-1.8316060452988', '-0.380911888064297', '1.00920100629396', '-0.83244908855217', '-0.933824359200181', '-1.00257794121276', '-2.18697503318237', '-0.191622556432161', '-0.862427765220514', '-1.02240883930514', '-2.4670708959154', '-1.64531067281423', '-0.449265216332419', '-0.146266359271644', '0.743724525145501', '0.654618307156191', '0.282737682498483', '0.611731507422456', '-1.20618348814289', '0.22227342978894', '-0.613477301640625', '-1.67302142540644', '-2.31383566212636', '-0.119680465888664', '-0.497367846558513', '0.252947012119011', '-0.134648658372911', '-0.476378309407905', '-0.0504979535563785', '-0.643584967643136'
'-0.695044160639471', '1.24395950570004', '-0.684643337028746', '3.7495589672109', '1.48494057199013', '0.652275506223666', '0.901795338281795', '1.41904849463892', '-0.70948343564793', '1.91174700237063', '-0.0344194433473812', '-0.185820360435945', '1.30051758549705', '0.328346515471825', '0.604034755868967', '-0.999371835788411', '1.27223928308757', '-0.686898404039051', '-0.822455608859965', '-0.776006189323561', '-1.04004073629725', '0.788920229180472', '0.660863467033948', '2.30337804076534', '0.360799563792038', '0.173148020869578', '0.933158183207599', '-0.851441969172749', '-0.355515742387185', '3.61253883302919', '-0.243078661968295', '2.40780559304125', '-0.185024506483787', '0.0969712705403802', '0.162289151540509', '0.337395747496569', '-0.343922978245565', '3.04517600739166', '-0.310014357248646', '0.0445422462650288', '-0.0703995250001279', '0.385059279373035', '0.463691594357654', '-0.0830592416221525', '-0.184129636671751', '-2.32698726131542', '-0.808460568426916', '-0.740864675359845', '-0.22137495933223', '0.148633036275998', '-0.852293482435738', '-0.701243471560743', '0.756060790182417', '0.92786033503768', '-1.16808134707335', '-1.18735980669244', '-0.781514157891511', '0.0529343962305719', '-1.093696947043', '-0.280894866657356', '-0.207222404442372'
'-0.695044160639471', '0.516759954820338', '-0.18269094793866', '-0.449737895648727', '-0.964345517232656', '-1.51209321897304', '-0.743981154082481', '-0.695044160639471', '-0.883076366221102', '-0.884487684156902', '-1.13039234864121', '0.197059495139732', '0.514510829693662', '1.01079110864628', '-0.60260980952344', '0.924429242416557', '-0.431515700722243', '1.75346139524685', '1.58348921414387', '-0.271186370504726', '-0.802840743327685', '-0.321271129473494', '0.902602400189843', '-0.0423670920951152', '0.12563556239187', '-0.494528409332421', '-0.725528528673582', '-0.74754683545004', '-0.739791154797747', '2.55999309440963', '-0.790755894180811', '0.621859501394347', '-0.222785929439066', '-0.450366570911767', '0.7606279425737', '-0.457116819188899', '-1.08006676038538', '0.115337656633368', '-0.731974878107399', '-0.360699673760426', '-1.12350717356762', '1.33576933780251', '-0.169009085793911', '-0.376024021390366', '0.144018767462505', '-1.21811911620453', '-0.991345427874804', '0.45054134772116', '-0.297111910855384', '0.785163213696941', '-0.941840725121127', '4.02427188782247', '0.940548047062584', '1.36890740948177', '0.812231428497728', '-0.0215113223282189', '-1.29874474289677', '-0.134648658372911', '0.758258965862287', '-1.11032375382088', '-0.144884895413691'
'-0.695044160639471', '0.425860010960375', '1.08429498593825', '-0.789075015879808', '-0.806327059863444', '0.652275506223666', '-0.743981154082481', '-0.695044160639471', '-0.132706924388682', '-0.630284530836218', '-0.424098698562965', '-0.978928632699845', '-0.27149592610973', '-0.148281454364306', '-1.00829203409503', '-0.428243390696312', '-0.672459410058205', '0.300866276624289', '-1.58798350708846', '-0.654593827835487', '-0.99260073770334', '-0.398367751602241', '-0.467251554360231', '-0.849183889384699', '-0.417050594685439', '-0.149178531641732', '-0.375202455905574', '-0.695599268588685', '0.347427085193111', '-0.334507686794162', '-0.40738183163205', '-0.752965336482356', '-0.142542905659098', '-0.0854746766103355', '-0.570675867475149', '-0.894098730865907', '-0.498900616590788', '-0.445695219043752', '0.190874030821098', '-0.399294142334279', '-0.230471887582386', '-1.61143184332887', '0.252791367640465', '-0.062133185924423', '-0.367135477438932', '-0.493089944401259', '-0.720404895359414', '-0.371696611869957', '0.138375560402748', '-1.43977254407718', '-0.807519861093043', '-0.373275152385564', '0.0796075149551403', '-0.836327962738667', '-0.46914742628356', '-1.63942350471122', '-0.00566828038361939', '-0.903739182247189', '-0.613560228882371', '-0.672569618929018', '-0.0409890470325571'
'-0.695044160639471', '-1.02853909079903', '0.349927342735708', '0.144102064755664', '-0.332271687755808', '-1.51209321897304', '-1.56686940026462', '-0.695044160639471', '1.57522352157317', '-0.884487684156902', '1.23203813610327', '0.169710934027183', '-0.508143121405374', '-0.803644912888985', '-0.550599267911698', '-1.3901439297988', '-0.509543734706487', '0.184658667134484', '0.0524334176868829', '-0.239235749060495', '-1.18236073207899', '-1.30810789272146', '-0.950729420672021', '-0.908948096591334', '-0.833109981778043', '-0.0570852309242148', '-0.0105773597592798', '0.226470043200357', '0.58174136105321', '-0.0713712521392716', '-0.900291340623314', '-0.93421234083266', '0.709449199769389', '0.279417217691096', '-0.914720672319233', '-0.0598605358461654', '-0.343922978245565', '-1.3184130256526', '-0.765367437312049', '-0.679104039494713', '0.022273948073811', '-1.0093154729902', '-0.538084482548991', '-0.784082107496091', '-0.449172578472496', '-0.919577692520831', '-0.239485450144596', '-0.589841376659436', '1.16082440596532', '-0.855799904241454', '-0.986614346463822', '0.767685056575973', '-0.120253679998373', '-2.25870477782085', '-0.585636413081859', '0.216416939786928', '1.80463876713479', '1.17843272385147', '0.483895126913355', '-0.442172705828041', '-0.456572440557094'
'1.41904849463892', '0.153160179380486', '-0.908988617040071', '-0.322486475562072', '-1.12236397460187', '-1.51209321897304', '-0.743981154082481', '-0.695044160639471', '0.0800844098623027', '-0.376081377515533', '-0.432217016379957', '-0.732791582686911', '-0.372916152665006', '-0.641158104990304', '1.0201190887629', '-0.849074876553648', '0.740619710887224', '-0.91931362301866', '-0.822455608859965', '-0.641813579257795', '-0.945160739109426', '-1.04597937748372', '-1.19246835382792', '-1.13306387361622', '-0.778841366070312', '-0.632668360408697', '-0.375202455905574', '-1.35793074607096', '-0.880379720313806', '0.718038051825399', '-0.297846385189546', '-0.792751264266569', '-0.574439180710103', '-0.0854746766103355', '0.0127044537822116', '-0.933824359200181', '-1.00257794121276', '0.904939481660425', '0.373015262846459', '-0.572969250916617', '-1.04768342287076', '0.0681559265632092', '-1.01260999266267', '0.126201315355143', '0.226055868496069', '0.189290452590057', '0.241433995070221', '0.920391610344655', '-0.28764479191499', '-0.522935499535089', '-0.807519861093043', '-0.858298722996744', '-0.151001556145068', '0.376551491982571', '0.229786494506233', '-0.973224370788806', '-0.00566828038361939', '-0.772431044024751', '-0.956515027568536', '-0.257855175347258', '-0.35267659217596'
